Game,Date,Series,Three-PointPercentage,Points
1.0,4/22/06,Eastern Conference 1,0.25,32.0
2.0,4/25/06,Eastern Conference 1,0.167,26.0
3.0,4/28/06,Eastern Conference 1,0.6,41.0
4.0,4/30/06,Eastern Conference 1,0.583,38.0
5.0,5/3/06,Eastern Conference 1,0.0,45.0
6.0,5/5/06,Eastern Conference 1,0.167,32.0
7.0,5/7/06,Eastern Conference SemiFinals,0.4,22.0
8.0,5/9/06,Eastern Conference SemiFinals,0.4,30.0
9.0,5/13/06,Eastern Conference SemiFinals,0.25,21.0
10.0,5/15/06,Eastern Conference SemiFinals,0.5,22.0
11.0,5/17/06,Eastern Conference SemiFinals,0.25,32.0
12.0,5/19/06,Eastern Conference SemiFinals,0.2,32.0
13.0,5/21/06,Eastern Conference SemiFinals,0.0,27.0
14.0,4/22/07,Eastern Conference 1,0.0,23.0
15.0,4/25/07,Eastern Conference 1,0.0,27.0
16.0,4/28/07,Eastern Conference 1,0.6,30.0
17.0,4/30/07,Eastern Conference 1,0.2,31.0
18.0,5/6/07,Eastern Conference SemiFinals,0.25,21.0
19.0,5/8/07,Eastern Conference SemiFinals,0.429,36.0
20.0,5/12/07,Eastern Conference SemiFinals,0.2,18.0
21.0,5/14/07,Eastern Conference SemiFinals,0.667,30.0
22.0,5/16/07,Eastern Conference SemiFinals,0.0,20.0
23.0,5/18/07,Eastern Conference SemiFinals,0.2,23.0
25.0,5/24/07,Eastern Conference NBA Finals,0.0,19.0
26.0,5/27/07,Eastern Conference NBA Finals,0.667,32.0
27.0,5/29/07,Eastern Conference NBA Finals,0.2,25.0
28.0,5/31/07,Eastern Conference NBA Finals,0.667,48.0
29.0,6/2/07,Eastern Conference NBA Finals,0.0,20.0
30.0,6/7/07,NBA Finals,0.333,14.0
31.0,6/10/07,NBA Finals,0.0,25.0
32.0,6/12/07,NBA Finals,0.0,25.0
33.0,6/14/07,NBA Finals,0.286,24.0
34.0,4/19/08,Eastern Conference 1,0.0,32.0
35.0,4/21/08,Eastern Conference 1,0.333,30.0
36.0,4/24/08,Eastern Conference 1,0.0,22.0
37.0,4/27/08,Eastern Conference 1,0.375,34.0
38.0,4/30/08,Eastern Conference 1,0.333,34.0
39.0,5/2/08,Eastern Conference 1,0.5,27.0
40.0,5/6/08,Eastern Conference SemiFinals,0.0,12.0
41.0,5/8/08,Eastern Conference SemiFinals,0.0,21.0
42.0,5/10/08,Eastern Conference SemiFinals,0.6,21.0
43.0,5/12/08,Eastern Conference SemiFinals,0.4,21.0
44.0,5/14/08,Eastern Conference SemiFinals,0.0,35.0
45.0,5/16/08,Eastern Conference SemiFinals,0.333,32.0
46.0,5/18/08,Eastern Conference SemiFinals,0.273,45.0
47.0,4/18/09,Eastern Conference 1,0.25,38.0
48.0,4/21/09,Eastern Conference 1,0.4,29.0
49.0,4/24/09,Eastern Conference 1,0.0,25.0
50.0,4/26/09,Eastern Conference 1,0.0,36.0
51.0,5/5/09,Eastern Conference SemiFinals,0.333,34.0
52.0,5/7/09,Eastern Conference SemiFinals,0.6,27.0
53.0,5/9/09,Eastern Conference SemiFinals,0.5,47.0
54.0,5/11/09,Eastern Conference SemiFinals,0.5,27.0
55.0,5/20/09,Eastern Conference NBA Finals,0.5,49.0
56.0,5/22/09,Eastern Conference NBA Finals,0.333,35.0
57.0,5/24/09,Eastern Conference NBA Finals,0.125,41.0
58.0,5/26/09,Eastern Conference NBA Finals,0.4,44.0
59.0,5/28/09,Eastern Conference NBA Finals,0.0,37.0
60.0,5/30/09,Eastern Conference NBA Finals,0.25,25.0
61.0,4/17/10,Eastern Conference 1,0.0,24.0
62.0,4/19/10,Eastern Conference 1,0.5,40.0
63.0,4/22/10,Eastern Conference 1,0.5,39.0
64.0,4/25/10,Eastern Conference 1,0.667,37.0
65.0,4/27/10,Eastern Conference 1,0.5,19.0
66.0,5/1/10,Eastern Conference SemiFinals,0.5,35.0
67.0,5/3/10,Eastern Conference SemiFinals,0.0,24.0
68.0,5/7/10,Eastern Conference SemiFinals,0.667,38.0
69.0,5/9/10,Eastern Conference SemiFinals,0.0,22.0
70.0,5/11/10,Eastern Conference SemiFinals,0.0,15.0
71.0,5/13/10,Eastern Conference SemiFinals,0.5,27.0
72.0,4/16/11,Eastern Conference 1,0.0,21.0
73.0,4/18/11,Eastern Conference 1,1.0,29.0
74.0,4/21/11,Eastern Conference 1,0.25,24.0
75.0,4/24/11,Eastern Conference 1,0.0,31.0
76.0,4/27/11,Eastern Conference 1,0.4,16.0
77.0,5/1/11,Eastern Conference SemiFinals,0.333,22.0
78.0,5/3/11,Eastern Conference SemiFinals,0.5,35.0
79.0,5/7/11,Eastern Conference SemiFinals,0.0,15.0
80.0,5/9/11,Eastern Conference SemiFinals,0.333,35.0
81.0,5/11/11,Eastern Conference SemiFinals,0.714,33.0
82.0,5/15/11,Eastern Conference NBA Finals,0.333,15.0
83.0,5/18/11,Eastern Conference NBA Finals,0.333,29.0
84.0,5/22/11,Eastern Conference NBA Finals,0.5,22.0
85.0,5/24/11,Eastern Conference NBA Finals,0.0,35.0
86.0,5/26/11,Eastern Conference NBA Finals,0.5,28.0
87.0,5/31/11,NBA Finals,0.8,24.0
88.0,6/2/11,NBA Finals,0.286,20.0
89.0,6/5/11,NBA Finals,0.25,17.0
90.0,6/7/11,NBA Finals,0.0,8.0
91.0,6/9/11,NBA Finals,0.0,17.0
92.0,6/12/11,NBA Finals,0.4,21.0
93.0,4/28/12,Eastern Conference 1,1.0,32.0
94.0,4/30/12,Eastern Conference 1,0.0,19.0
95.0,5/3/12,Eastern Conference 1,0.4,32.0
96.0,5/6/12,Eastern Conference 1,0.4,27.0
97.0,5/9/12,Eastern Conference 1,0.333,29.0
98.0,5/13/12,Eastern Conference SemiFinals,0.0,32.0
99.0,5/15/12,Eastern Conference SemiFinals,0.0,28.0
100.0,5/17/12,Eastern Conference SemiFinals,0.25,22.0
102.0,5/22/12,Eastern Conference SemiFinals,0.5,30.0
103.0,5/24/12,Eastern Conference SemiFinals,0.0,28.0
104.0,5/28/12,Eastern Conference NBA Finals,0.0,32.0
105.0,5/30/12,Eastern Conference NBA Finals,0.333,34.0
106.0,6/1/12,Eastern Conference NBA Finals,0.25,34.0
107.0,6/3/12,Eastern Conference NBA Finals,0.333,29.0
108.0,6/5/12,Eastern Conference NBA Finals,0.333,30.0
109.0,6/7/12,Eastern Conference NBA Finals,0.5,45.0
110.0,6/9/12,Eastern Conference NBA Finals,0.2,31.0
111.0,6/12/12,NBA Finals,0.333,30.0
112.0,6/14/12,NBA Finals,0.0,32.0
113.0,6/17/12,NBA Finals,0.25,29.0
