Game,Date,Series,ThreePointPercentage,Points
1,4/22/06,Eastern Conference 1,0.25,32
2,4/25/06,Eastern Conference 1,0.167,26
3,4/28/06,Eastern Conference 1,0.6,41
4,4/30/06,Eastern Conference 1,0.583,38
5,5/3/06,Eastern Conference 1,0,45
6,5/5/06,Eastern Conference 1,0.167,32
7,5/7/06,Eastern Conference SemiFinals,0.4,22
8,5/9/06,Eastern Conference SemiFinals,0.4,30
9,5/13/06,Eastern Conference SemiFinals,0.25,21
10,5/15/06,Eastern Conference SemiFinals,0.5,22
11,5/17/06,Eastern Conference SemiFinals,0.25,32
12,5/19/06,Eastern Conference SemiFinals,0.2,32
13,5/21/06,Eastern Conference SemiFinals,0,27
14,4/22/07,Eastern Conference 1,0,23
15,4/25/07,Eastern Conference 1,0,27
16,4/28/07,Eastern Conference 1,0.6,30
17,4/30/07,Eastern Conference 1,0.2,31
18,5/6/07,Eastern Conference SemiFinals,0.25,21
19,5/8/07,Eastern Conference SemiFinals,0.429,36
20,5/12/07,Eastern Conference SemiFinals,0.2,18
21,5/14/07,Eastern Conference SemiFinals,0.667,30
22,5/16/07,Eastern Conference SemiFinals,0,20
23,5/18/07,Eastern Conference SemiFinals,0.2,23
25,5/24/07,Eastern Conference NBA Finals,0,19
26,5/27/07,Eastern Conference NBA Finals,0.667,32
27,5/29/07,Eastern Conference NBA Finals,0.2,25
28,5/31/07,Eastern Conference NBA Finals,0.667,48
29,6/2/07,Eastern Conference NBA Finals,0,20
30,6/7/07,NBA Finals,0.333,14
31,6/10/07,NBA Finals,0,25
32,6/12/07,NBA Finals,0,25
33,6/14/07,NBA Finals,0.286,24
34,4/19/08,Eastern Conference 1,0,32
35,4/21/08,Eastern Conference 1,0.333,30
36,4/24/08,Eastern Conference 1,0,22
37,4/27/08,Eastern Conference 1,0.375,34
38,4/30/08,Eastern Conference 1,0.333,34
39,5/2/08,Eastern Conference 1,0.5,27
40,5/6/08,Eastern Conference SemiFinals,0,12
41,5/8/08,Eastern Conference SemiFinals,0,21
42,5/10/08,Eastern Conference SemiFinals,0.6,21
43,5/12/08,Eastern Conference SemiFinals,0.4,21
44,5/14/08,Eastern Conference SemiFinals,0,35
45,5/16/08,Eastern Conference SemiFinals,0.333,32
46,5/18/08,Eastern Conference SemiFinals,0.273,45
47,4/18/09,Eastern Conference 1,0.25,38
48,4/21/09,Eastern Conference 1,0.4,29
49,4/24/09,Eastern Conference 1,0,25
50,4/26/09,Eastern Conference 1,0,36
51,5/5/09,Eastern Conference SemiFinals,0.333,34
52,5/7/09,Eastern Conference SemiFinals,0.6,27
53,5/9/09,Eastern Conference SemiFinals,0.5,47
54,5/11/09,Eastern Conference SemiFinals,0.5,27
55,5/20/09,Eastern Conference NBA Finals,0.5,49
56,5/22/09,Eastern Conference NBA Finals,0.333,35
57,5/24/09,Eastern Conference NBA Finals,0.125,41
58,5/26/09,Eastern Conference NBA Finals,0.4,44
59,5/28/09,Eastern Conference NBA Finals,0,37
60,5/30/09,Eastern Conference NBA Finals,0.25,25
61,4/17/10,Eastern Conference 1,0,24
62,4/19/10,Eastern Conference 1,0.5,40
63,4/22/10,Eastern Conference 1,0.5,39
64,4/25/10,Eastern Conference 1,0.667,37
65,4/27/10,Eastern Conference 1,0.5,19
66,5/1/10,Eastern Conference SemiFinals,0.5,35
67,5/3/10,Eastern Conference SemiFinals,0,24
68,5/7/10,Eastern Conference SemiFinals,0.667,38
69,5/9/10,Eastern Conference SemiFinals,0,22
70,5/11/10,Eastern Conference SemiFinals,0,15
71,5/13/10,Eastern Conference SemiFinals,0.5,27
72,4/16/11,Eastern Conference 1,0,21
73,4/18/11,Eastern Conference 1,1,29
74,4/21/11,Eastern Conference 1,0.25,24
75,4/24/11,Eastern Conference 1,0,31
